# mu sigma av_time av_div samples_div samples_multiple_eq samples_with_deaths av_m std_m  runtime_conv(s)  std_runtime_conv(s)  nsamples
0.069 0.470 3657.370400 39.713800 4778 5061 10000 531905246.999576 3317211930.505261 0.000565 0.002405 10000
0.069 0.474 3759.536200 41.243200 4980 5266 10000 535878101.855293 3191944774.732135 0.000605 0.002489 10000
0.072 0.446 2850.614700 29.710900 3403 3656 10000 373828051.876875 3406260170.667427 0.000421 0.002009 10000
0.072 0.450 2992.211000 31.308400 3615 3877 10000 329880712.004570 2586400922.800349 0.000458 0.002127 10000
0.072 0.454 3145.008100 33.107100 3846 4120 10000 394593445.371671 3032485234.075469 0.000437 0.001949 10000
0.072 0.458 3283.894600 34.777200 4075 4357 10000 441120918.574877 3434861266.278920 0.000449 0.001921 10000
0.072 0.462 3401.847100 36.108300 4269 4554 10000 437823646.129552 3012574997.048459 0.000515 0.002204 10000
0.072 0.466 3532.398100 37.641000 4484 4776 10000 505417014.052562 3534700470.881835 0.000564 0.002387 10000
0.072 0.470 3666.761400 39.430000 4732 5026 10000 524856026.440495 3307406643.009713 0.000580 0.002552 10000
0.072 0.474 3775.048500 41.090700 4952 5253 10000 557563956.808719 3535223795.411365 0.000548 0.002250 10000
0.072 0.478 3888.641200 42.637700 5157 5459 10000 541624844.933153 3131720427.631175 0.000618 0.002604 10000
0.075 0.446 2848.571100 29.534700 3368 3629 10000 222992553.827999 1617643513.492965 0.000397 0.001866 10000
0.075 0.450 2992.103500 31.125300 3587 3863 10000 338405304.104304 2841007856.849231 0.000403 0.001894 10000
0.075 0.454 3145.475800 32.982900 3806 4090 10000 336429960.549634 2522970798.463598 0.000468 0.002201 10000
0.075 0.458 3295.133800 34.587500 4043 4332 10000 393437513.796884 2986982551.493322 0.000431 0.002010 10000
0.075 0.462 3405.789400 35.870300 4237 4536 10000 423419212.742961 3396698231.930247 0.000488 0.001984 10000
0.075 0.466 3528.915400 37.418200 4439 4745 10000 441299235.531611 3001171089.978003 0.000548 0.002270 10000
0.075 0.470 3685.100300 39.184900 4695 4998 10000 534407543.356874 3507420334.742793 0.000587 0.002514 10000
0.075 0.474 3790.010600 40.886600 4918 5226 10000 528234470.420906 3073401804.120903 0.000570 0.002511 10000
0.075 0.478 3893.230100 42.464600 5123 5434 10000 523220164.150374 3185094162.011162 0.000585 0.002341 10000
0.078 0.446 2836.253600 29.359000 3345 3619 10000 239521385.441414 1900287490.316728 0.000347 0.001584 10000
0.078 0.450 2989.517400 30.953600 3553 3838 10000 350876363.408419 3318355960.612084 0.000410 0.001921 10000
0.078 0.454 3139.576300 32.741000 3776 4068 10000 337523419.566523 2657477249.212021 0.000414 0.001801 10000
0.078 0.458 3288.348500 34.310800 3998 4298 10000 398474295.978816 3094857793.818285 0.000439 0.002022 10000
0.078 0.462 3389.492400 35.607700 4177 4488 10000 423791306.001442 3153214468.699759 0.000535 0.002295 10000
0.078 0.466 3541.714400 37.270400 4416 4737 10000 438238777.621330 3085315184.437761 0.000507 0.002250 10000
0.078 0.470 3690.336500 38.950300 4650 4961 10000 511697516.071553 3655995144.548872 0.000585 0.002506 10000
0.078 0.474 3797.420500 40.640500 4878 5199 10000 545740272.338398 3530940961.295059 0.000542 0.002222 10000
0.078 0.478 3904.621100 42.236200 5088 5407 10000 547537443.712835 3323691093.231599 0.000558 0.002297 10000
