# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
8192 163 900 0 7.327800 0.000000 0.000000 0 10000 0.000000 0.000000 0.878783 0.000030
8192 163 950 0 8.362000 0.000000 0.000000 0 10000 0.000000 0.000000 0.873392 0.000031
8192 163 1050 0 118.257400 0.027700 0.002745 112 10000 0.011200 0.001052 0.868077 0.000033
8192 163 1100 0 118.257400 0.027700 0.002745 112 10000 0.011200 0.001052 0.868077 0.000033
8192 163 1500 0 118.257400 0.027700 0.002745 112 10000 0.011200 0.001052 0.868077 0.000033
8192 217 700 0 7.580700 0.000000 0.000000 0 10000 0.000000 0.000000 0.873688 0.000027
8192 217 700 150 7.584400 0.000000 0.000000 0 10000 0.000000 0.000000 0.874046 0.000027
8192 217 900 0 8.593300 0.000000 0.000000 0 10000 0.000000 0.000000 0.846986 0.000032
8192 217 950 0 10.288300 0.000000 0.000000 0 10000 0.000000 0.000000 0.840616 0.000033
8192 217 1050 0 187.830800 0.048800 0.003855 181 10000 0.018100 0.001333 0.834359 0.000035
8192 217 1100 0 187.830800 0.048800 0.003855 181 10000 0.018100 0.001333 0.834359 0.000035
8192 217 1500 0 187.830800 0.048800 0.003855 181 10000 0.018100 0.001333 0.834359 0.000035
8192 272 700 0 8.513100 0.000000 0.000000 0 10000 0.000000 0.000000 0.847858 0.000028
8192 272 700 150 8.584600 0.000000 0.000000 0 10000 0.000000 0.000000 0.848347 0.000028
8192 272 900 0 10.016800 0.000000 0.000000 0 10000 0.000000 0.000000 0.817717 0.000033
8192 272 950 0 12.489800 0.000000 0.000000 0 10000 0.000000 0.000000 0.810597 0.000034
8192 272 1050 0 268.410900 0.073700 0.004900 261 10000 0.026100 0.001594 0.803630 0.000036
8192 272 1100 0 268.410900 0.073700 0.004900 261 10000 0.026100 0.001594 0.803630 0.000036
8192 272 1500 0 268.410900 0.073700 0.004900 261 10000 0.026100 0.001594 0.803630 0.000036
8192 326 700 0 9.426700 0.000000 0.000000 0 10000 0.000000 0.000000 0.824302 0.000028
8192 326 700 150 9.495000 0.000000 0.000000 0 10000 0.000000 0.000000 0.824930 0.000029
8192 326 900 0 11.446000 0.000000 0.000000 0 10000 0.000000 0.000000 0.791539 0.000034
8192 326 950 0 14.761800 0.000000 0.000000 0 10000 0.000000 0.000000 0.783870 0.000035
8192 326 1050 0 353.921400 0.104400 0.006209 346 10000 0.034600 0.001828 0.776391 0.000036
8192 326 1100 0 353.921400 0.104400 0.006209 346 10000 0.034600 0.001828 0.776391 0.000036
8192 326 1500 0 353.921400 0.104400 0.006209 346 10000 0.034600 0.001828 0.776391 0.000036
8192 381 700 0 10.438500 0.000000 0.000000 0 10000 0.000000 0.000000 0.801898 0.000029
8192 381 700 150 10.486100 0.000000 0.000000 0 10000 0.000000 0.000000 0.802671 0.000030
8192 381 900 0 13.402100 0.000000 0.000000 0 10000 0.000000 0.000000 0.767051 0.000034
8192 381 950 0 18.225300 0.000000 0.000000 0 10000 0.000000 0.000000 0.758965 0.000035
8192 381 1050 0 518.348100 0.170000 0.008362 510 10000 0.051000 0.002200 0.751102 0.000037
8192 381 1100 0 518.348100 0.170000 0.008362 510 10000 0.051000 0.002200 0.751102 0.000037
8192 381 1500 0 518.348100 0.170000 0.008362 510 10000 0.051000 0.002200 0.751102 0.000037
8192 435 700 0 11.345600 0.000000 0.000000 0 10000 0.000000 0.000000 0.781351 0.000030
8192 435 700 150 12.505200 0.000400 0.000400 1 10000 0.000100 0.000100 0.782272 0.000030
8192 435 900 0 14.823100 0.000000 0.000000 0 10000 0.000000 0.000000 0.744955 0.000035
