#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
1024 5440 700 0 2957.560218 1033.769584 1512 0 0.150448 0.003566 0.747919 0.249479 10050
1024 5440 700 150 2954.284243 1032.868192 1524 0 0.151642 0.003578 0.773802 0.256572 10050
1024 5540 700 0 3023.293730 1071.910547 1891 0 0.188159 0.003899 0.773673 0.260739 10050
1024 5540 700 150 3024.960238 1081.297060 1815 0 0.180597 0.003837 0.761574 0.260201 10050
1024 5650 700 0 3093.776655 1113.842834 2272 0 0.226070 0.004172 0.795186 0.277536 10050
1024 5650 700 150 3101.478394 1107.765562 2184 0 0.217313 0.004114 0.821199 0.285182 10050
1024 5760 700 0 3163.766579 1126.205177 2588 0 0.257512 0.004362 0.819470 0.279594 10050
1024 5760 700 150 3171.098101 1144.814066 2617 0 0.260398 0.004378 0.813072 0.288639 10050
1024 5870 700 0 3251.460356 1179.478064 3042 0 0.302687 0.004583 0.925939 0.327880 10050
1024 5870 700 150 3269.421069 1201.860880 3103 0 0.308756 0.004608 0.872294 0.324170 10050
1024 5980 700 0 3304.115287 1204.549461 3508 0 0.349055 0.004755 0.949409 0.337539 10050
1024 5980 700 150 3346.078116 1225.057833 3543 0 0.352537 0.004766 0.870529 0.313253 10050
1024 6090 700 0 3406.838473 1272.056670 4054 0 0.403383 0.004894 0.944646 0.346913 10050
1024 6090 700 150 3392.622900 1270.904470 4057 0 0.403682 0.004894 0.908312 0.335014 10050
1024 6200 700 0 3465.931526 1295.883832 4477 0 0.445473 0.004958 0.932640 0.352189 10050
1024 6200 700 150 3430.977217 1257.941860 4536 0 0.451343 0.004964 0.978319 0.372183 10050
2048 110 800 0 145.547200 45.968597 0 0 0.000000 0.000000 0.039186 0.008252 10050
2048 110 900 0 405.414855 160.346356 0 0 0.000000 0.000000 0.054573 0.013385 10050
2048 110 1100 0 188.952710 7.053833 0 0 0.000000 0.000000 0.044409 0.004194 10050
2048 110 1500 0 53.964955 5.271369 0 0 0.000000 0.000000 0.039588 0.004339 10050
2048 110 3000 0 24.694500 2.615257 4 0 0.000398 0.000199 0.054303 0.005279 10050
2048 220 900 0 554.738849 155.818317 0 0 0.000000 0.000000 0.089728 0.022038 10050
2048 220 1100 0 187.553783 5.007133 0 0 0.000000 0.000000 0.060496 0.006034 10050
